Timestamp,WereYouEligibleToApplyForAnAugust2021St3Post,WhatIsYourAge,WhatIsYourSex,WhichRegionAreYouCurrentlyWorkingIn,WhatIsYourCurrentRole,HowManyYearsOfClinicalExperienceInAnaesthesiaWouldYouHaveCompletedByAugust2021,WhatIsYourCurrentContractedWorkingPattern,DidYouApplyForAnSt3AnaestheticsPostToCommenceInAugust2021,WereYouSuccessfulWithYourSt3ApplicationInThisApplicationRound,HaveYouAcceptedAnSt3AnaestheticsPostToCommenceInAugust2021,IfNotPleaseTellUsWhy,WhatWasYourReasonForNotApplying,AtTheTimeOfSt3ApplicationWereYouAwareOfThePlannedBreakInRecruitmentFromAugust2022,DidYouFeelTheEffectsOfCurriculumChangesOnRecruitmentWereWellExplainedToYouPriorToTheSt3ApplicationDeadline,WouldMoreInformationRegardingChangesToTheCurriculumAndRecruitmentHaveChangedYourDecisionNotToApply,WhatAreYourPotentialPlansForTheUpcoming1_2YearsSelectAllThatApply,DoYouFeelConfidentOrAssuredThatYouWillBeAbleToAchieveTheNecessaryCompetenciesToApplyForSt4InAugust2023,HasTheTimeOutOfATrainingProgrammeAffectedAnyOfYourWiderLifePlansEGMovingLocationFamilyPlanningBuyingAHouse,HowConfidentAreYouThatYouWillBeAbleToAchieveGmcRegistrationOnTheSpecialtyRegisterInAnaesthesiaWithoutATrainingNumber,WhatGeneralConcernsWouldYouLikeToShareWithUsRegardingThisYearsSt3ApplicationsIfThereAreSpecificPersonalCircumstancesYouAreHappyToShareWithTheRelevantStakeholdersPleaseFeelFreeToContributeThemHereWeMayPublishSomeOfTheseAsAnonymisedQuotesToConveyTheDepthOfFeelingAroundThisIssue,ID
2021-05-22T17:45:07Z,Yes,36-40,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Although I have significant reservations about the disparity between the number of ST3 posts and those at CT1, my main grievance has been with the new online self assessment score process.

It was clear from the self assessment feedback I received that they had incorrectly marked down my score in one of the domains, and had used this as a reason to reduce my global score. I initially submitted an appeal to ANRO, but was told that I did not meet the appeals criteria (as per applicant guidance section 6.3 here https://anro.wm.hee.nhs.uk/downloads). In order to qualify for an appeal, your self assessment score (submitted at the time of application) must have reduced by 5 marks or more by the consultant assessor. My score had actually increased between time of application and deadline for document upload as I had done some relevant things in the interim which scored on the self assessment criteria. As such, ANRO used this as a reason not to grant me an appeal.

Judging from social media this seemed to be a common issue, and the chair of the RCOA Anaesthetists in Training(AiT) Committee tweeted that those who did not reach the criteria for an appeal should lodge a formal complaint with ANRO. This was also echoed in an email sent out by the RCOA. I did just this, but received a similar reply; that I didn't qualify for an appeal and had no grounds for a complaint (the complaints procedure is here - https://specialtytraining.hee.nhs.uk/portals/1/Content/Resource%20Bank/Recruitment%20Documents/MDRS%20Complaints%20Policy%202021.docx). 

I found this extremely frustrating and disheartening; it wasn't as if someone had re-looked at my evidence and decided they disagreed, they had just refused to look at it. The initial appeals criteria cut-off seemed particularly arbitrary; especially in the context of a highly competitive application process where a single point could make the difference between getting a job and not. I emailed the RCOA AiT (and the Association of Anaesthetists Trainee committee) and received assurances that the RCOA training committee were liaising with ANRO and the MDRS to highlight trainee grievances with the system.

Shortly afterwards ANRO announced they were reopening another appeal window, with limited criteria (basically for clerical or admin errors);  for which I didn't qualify. I then didn't hear anymore about it. I discovered on social media (an hour before the deadline) that ANRO had emailed candidates who had been marked down between 1 and 4 marks details of the new appeals process; an email that I had not received. I am extremely fortunate that I happened to see this on social media, as I was able to submit a last minute appeal. On review my appeal was upheld and I was given 5 (!) extra points. I have no doubt that these extra points helped me secure the job I wanted.

I feel very strongly that at present the online self assessment system is not consistently marked and does not have a robust, transparent or fair appeals process. I had to spend considerable time and effort to get my appeal reviewed, which is not fair or right, and added significant stress to the process. I am extremely fortunate to have a job at the end of this, but I suspect many of my colleagues have been disadvantaged by the current system. The appeals process should be open to everyone if they feel that a mistake has been made, and there should be no arbitrary points cut-off.",448
2021-05-22T18:38:59Z,Yes,31-35,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Predictable increase in number of applicants for the same or reduced numbers of places through combination of curriculum changes, COVID, criteria changes (including not requiring full primary FRCA and potentially removal of RLMT) as well as a persistent discrepancy between the number of core and ST training numbers, despite the ongoing shortage of anaesthetic and ICU consultants and a clear need to expand the workforce.

The potential impact of the curriculum change and the change to recruitment at ST4 on trainees who have already completed core training has been apparent for years and overall there has been little in the way of concrete assurance that there would be a straightforward way to demonstrate equivalence and become eligible for ST4 recruitment if unsuccessful in this round - although some CT3 style posts are now being advertised this was after recruitment was all but completed so at the time before receiving an offer I felt no guarantee that I would be able to access such posts; there should be a formal mechanism to ensure all trainees who have completed core training and wish to continue with anaesthetics training are offered a CT3 post, and not a reliance on individual trusts filling gaps in the system.",449
2021-05-22T19:07:05Z,Yes,25-30,Male,Health Education South West (Peninsula & Severn),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,Yes,Not confident,Far too few training posts in Severn. Fellow posts have fewer protections than training posts meaning I will have a significant pay cut,450
2021-05-22T20:27:41Z,Yes,25-30,Male,NHS Education for Scotland,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Many concerns. First and foremost why is training not run-through? ST3 applications generate a lot of stress and soak up a lot of time (for both trainees and consultants), but to what benefit? Second, the metrics measured in the applications mostly have little to do with clinical competence as an anaesthetist - there is no attempt to measure if you're a good colleague, have great technical skills not shrewd clinical acumen; ICM applications at least attempt this by including a section on consultant feedback. Yet you do get points for having a prize in medical school irrespective of its relevance to anaesthesia... Next, why are there consistently fewer ST numbers than CT numbers? The anaesthetic training attrition rate is relatively low and is not entirely concentrated at the Core/Specialty checkpoint. Furthermore the appointed ST posts do not account for Whole Time Equivalents, with the increase in LTFT, parental leave and academic leave/OOPEs ST rotas are consistently under-filled affecting training opportunities due to the relative increase in service provision. Finally in Scotland when additional posts were funded due to existing anaesthetic ST trainees gaining ICM numbers (and thus having their funding taken over by ICM) these were distributed not to the trainees who otherwise would have been eligible for upgrades earlier in the process, but to lower ranked trainees who had yet to be offered a job due to inflexibility about where they were prepared to work. While this may be the letter of the existing rules, it seems to 'punish' flexibility setting little value on the financial, social and emotional costs that that flexibility incurs. Ultimately it undermines the sense that the application process is a true meritocracy (at least within the limits of the metrics assessed).",451
2021-05-22T20:37:58Z,Yes,36-40,Female,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",5,LTFT,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I am someone who gained a good portfolio score (38) however when it came to the interview I was marked down on my global rating score (12/20) even when I scored 8/10 on 4 out of 6 of the sections, I was not given feedback as to why this was. I also was not able to interview in my first choice deanary as the slots were filled up when I tried to book. 
 I ended up being offered a place which I accepted with upgrades in the North East. I was then told that places were available in my first choice deanery (East Midlands ) and contacted ANRO however the only response I got was that the Upgrade deadline has passed and I would not be offered those places. 
I had no choice but to accept this North East offer as I've been out of training for 2 years. However this has made life extremely difficult for me as I regularly need to go back to London to help care for my father who has  cancer. I now have a 4hr journey instead of an hour and half to go see my family. This application process has been completely unfair and disadvantaged people like myself who are not in a position to apply for special circumstances as I did not want a job in London where my family is, but wanted to remain in the deanery I completed my core training as my partner lives in the Midlands.",452
2021-05-22T23:56:29Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",2.5,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Career break",No,Yes,Not confident,"Lack of training posts despite countless rota gaps.
Change in curriculum so close to the covid pandemic which already impacted training.
Lack of support or guidance for CT3 top up - including finding these posts
No recruitment for a year - further worsening the bottleneck into ST
Lead to poor morale amongst trainees who have worked so hard",453
2021-05-23T01:35:34Z,Yes,25-30,Male,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,"Wanted to take a break from training, Wanted to pursue other interests or opportunities, e.g. research or management, etc.",Yes,No,Yes,"Work abroad, Career break, Permanently leaving the medical profession",No,Yes,Not confident,NA,454
2021-05-23T09:34:08Z,Yes,31-35,Male,Health Education North East,Intensive Care Medicine Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,No,Don't know,Not confident,NA,455
2021-05-23T12:52:30Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Career break",Yes,Yes,Not sure,"The whole process of preparing the application was stressful and following the guidance on the E portfolio carefully and not overloading the sections, was probably against me and not uploading a full CV. It has left with me with a lot of uncertainties, and it's frustrating that I'm being forced to take more time out than planned. I will try to make the most of it but I wonder if I'll still be considered eligible and not overtrained  by the time I apply for ST4.",456
2021-05-23T14:07:30Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,It is very concerning the numbers of potential trainees that will now require posts in the upcoming years,457
2021-05-23T14:09:57Z,Yes,36-40,Male,Health Education South West (Peninsula & Severn),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,Awareness of increased competition ratios and/or reduced CV opportunities during COVID,Yes,Yes,Yes,"CT3 top-up post, Non-training fellow post",Don't know,Yes,Not confident,Shambolic and unnecessary changes,458
2021-05-23T16:55:39Z,Yes,31-35,Male,Health Education Yorkshire and the Humber,"Non-training Fellow, SAS or other Trust-Grade post",3,LTFT,No,NA,NA,NA,Awareness of increased competition ratios and/or reduced CV opportunities during COVID,Yes,No,Yes,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,NA,459
2021-05-23T18:07:03Z,Yes,31-35,Female,NHS Education for Scotland,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I found this years ST3 applications to be difficult and inequitable. I was one of the trainees who was fortunate to be offered an upgrade through round 2 of ANRO recruitment to ST3 anaesthetics to SE Scotland. Unfortunately several of my colleagues who ranked higher than me in the interview/ portfolio scoring system, but who had also applied for other regions, and accepted with upgrades, did not get offered an upgrade.  This is because the recycled upgrades were only released after the deadline for 'accepting with upgrades' closed. So deserving colleagues who desperately wanted Edinburgh ST3 jobs, and had ranked sufficiently high to get these jobs, have missed out. This seems exceptionally unfair.  Had these jobs been recycled a week earlier (it was known they were available at least 2 weeks prior to the deadline for accepting with upgrades), then these people would have got the upgrades they deserve. It is unreasonable of the college to ask trainees to jump through numerous hoops to distinguish ourselves from our colleagues in order to get a ranking, and then completely ignore that ranking when distributing jobs.",460
2021-05-23T18:49:36Z,Yes,31-35,Male,Health Education West Midlands,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,Wanted to take a break from training,No,No,Not sure,"CT3 top-up post, Non-training fellow post, ICM ST3 post, Further education, e.g. pursue a higher degree, Work abroad, Career break",No,Yes,Not confident,NA,461
